runIndex,capsuleCdScale,drogueCdScale,mainCdScale,mass_kg,densityScaleFactor,drogueDeployAltitudeOffset_m,mainDeployAltitudeOffset_m,touchdownVelocity_mps,totalDescentTime_s,peakDeceleration_g
1,0.974908023769472,1.09014286128198,1.04639878836228,6509.8658484197,0.979361118426546,-137.602191865519,-176.76655513272,8.88977887495582,351.862542477961,3.42649663757807
2,1.07323522915499,1.02022300234864,1.04161451555921,6452.05844942958,1.02819459112972,132.977056320169,-115.06435572869,8.65498859751455,368.210555588925,3.05318795085715
3,0.93636499344142,0.936680901970687,0.960848448591908,6502.47564316322,0.995916701118527,-83.5083439207832,44.7411578889518,9.19353230494809,355.819013351034,3.21982000710187
4,0.927898772130408,0.958428929707044,0.973272368658738,6495.6069984217,1.01711055768358,-120.130487136656,5.69377536544464,9.03465407341117,359.011765611495,3.27414436124573
5,1.01848291377241,0.909290082544,1.02150897038029,6467.05241236873,0.973903095579117,179.554214901333,186.252813229824,8.99139223493288,374.20412745176,2.99183139467695
6,1.06167946962329,0.960922753834674,0.919534422801277,6518.42330265122,0.996409149624376,-151.184706062088,-1.92923595549193,9.4026565328127,349.456949899719,2.96127241049389
7,0.906877704223044,1.08186408041576,0.951755996320003,6516.2522284354,0.988702664565365,8.02720847112433,18.6841117373119,9.28135852804254,356.731535326839,3.6078527001633
8,0.936970891105105,1.09391692555291,1.05502656467222,6543.94989415642,1.02368964102566,39.1599915244341,168.749694009247,8.68309875036517,390.02496577849,3.53176823010854
9,0.917698500410384,0.939196572483829,0.909045457782108,6482.53303307633,0.993320637381369,-91.4603872904416,131.495003660772,9.44892093597307,355.262717362508,3.27265524751232
10,0.971350665338718,0.956186901937476,1.00853921663165,6464.09242249748,1.01813181884524,-170.179742528092,194.754774640207,8.84898996511913,381.025897417367,3.14768998735224
11,1.05444895385933,0.939743136306834,0.901104423424721,6531.54614284548,1.01241144063086,91.6028672163949,108.508138674378,9.43206089385177,358.437417624616,2.95271289283558
12,0.914808930346818,0.971693145708855,0.923173811905026,6536.31034258756,1.00739788760965,-67.6407900589403,-174.576659885591,9.34955161060865,335.75553513288,3.34951392429218
13,0.962196464343132,0.965036664405349,1.04592123566761,6513.75574713552,1.02323276455458,-11.1140299352203,-152.162301624679,8.70189268148942,357.233132148447,3.20514746146281
14,1.0426489574446,1.05215700972338,1.0122554395139,6527.09671799546,0.999627735781863,9.09313175279762,-28.9835926565802,8.95592650876257,364.053689888345,3.18970648690189
15,0.905083825348819,0.921578285398661,0.906285837137347,6513.64104112638,0.98886135886458,3.42827646588111,163.026589570437,9.50762792686722,355.099505460476,3.28097349450924
16,0.949858445829775,0.982076584607126,1.05111022770861,6472.87981654916,0.974618794589728,-84.0994188344928,-135.511485098398,8.86673308105327,351.377345491366,3.28651541066968
