time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,velocityDown_mps,stageId,windX_mps,windY_mps,theta_deg,horizontalDrift_m
0,0,0,15300,0,0,276,0,3.06161699786838e-16,5,5,0
0.000630957344480193,2.4376828529846e-24,3.98103821392717e-08,15299.825649078,7.72690141584771e-21,0.000126189876480753,276.000915778431,0,3.06161699786838e-16,5,4.99999967623066,3.98103821392717e-08
0.00126191468896039,9.75064938219309e-24,1.59240188909682e-07,15299.6512981559,1.54536078203484e-20,0.000252376568184521,276.001831556862,0,3.06161699786838e-16,5,4.99999870496926,1.59240188909682e-07
0.00189287203344058,2.19387765453365e-23,3.58287410878159e-07,15299.4769472339,2.31801192184236e-20,0.000378560075191681,276.002747335294,0,3.06161699786838e-16,5,4.99999708628579,3.58287410878159e-07
0.00252382937792077,3.90019413032312e-23,6.36950038662345e-07,15299.3025963119,3.09064356149952e-20,0.000504740397582608,276.003663113725,0,3.06161699786838e-16,5,4.99999482025031,6.36950038662345e-07
0.00567861610032174,1.97439022859818e-22,3.2244239399847e-06,15298.4308417017,6.9535092747542e-20,0.00113559424310675,276.008242005881,0,3.06161699786838e-16,5,4.99997378225068,3.2244239399847e-06
0.0088334028227227,4.77733590193125e-22,7.80198160850528e-06,15297.5590870916,1.08158875580658e-19,0.0017663684852802,276.012820898037,0,3.06161699786838e-16,5,4.99993657100515,7.80198160850528e-06
0.0119881895451237,8.79870266898292e-22,1.43693719284759e-05,15296.6873324814,1.46777784729399e-19,0.00239706313414759,276.017399790193,0,3.06161699786838e-16,5,4.99988319535801,1.43693719284759e-05
0.0151429762675246,1.40383367851052e-21,2.2926343815832e-05,15295.8155778713,1.85391820808743e-19,0.00302767819975229,276.021978682349,0,3.06161699786838e-16,5,4.99981366420107,2.2926343815832e-05
0.0309169098795295,5.85051378941315e-21,9.55461410340763e-05,15291.4568048205,3.78388926683353e-19,0.00617956013026453,276.044873143129,0,3.06161699786838e-16,5,4.99922399024308,9.55461410340763e-05
0.0466908434915343,1.33405572186725e-20,0.000217867833043138,15287.0980317698,5.71264298025228e-19,0.00932945398498513,276.067767603909,0,3.06161699786838e-16,5,4.9982317895973,0.000217867833043138
