# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 7.00000000e+01
# lRef          : 1.11803399e+01
# Aref          : 9.81747704e+01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	-8.61862748e-13	6.13211238e-03	-1.56339429e-13	-9.40032462e-13	7.83693033e-13
20              	1.34101428e-03	1.35707892e+00	4.90897562e-04	1.58646306e-03	-1.09556550e-03
40              	-2.78607620e-04	1.00059198e+00	3.82559675e-05	-2.59479636e-04	2.97735604e-04
60              	-5.30628810e-04	9.48551839e-01	-1.50690362e-04	-6.05973991e-04	4.55283630e-04
80              	-1.76063270e-04	9.34030442e-01	4.80408661e-05	-1.52042837e-04	2.00083703e-04
100             	-1.16654641e-04	9.33141532e-01	3.11918546e-05	-1.01058714e-04	1.32250569e-04
120             	-1.46750382e-05	9.35584302e-01	-8.72772488e-07	-1.51114244e-05	1.42386519e-05
140             	-1.67444128e-05	9.37244674e-01	3.87044416e-06	-1.48091907e-05	1.86796349e-05
160             	-3.32719152e-06	9.38107738e-01	8.56892894e-07	-2.89874507e-06	3.75563797e-06
180             	-2.80051434e-06	9.38518893e-01	3.88505693e-07	-2.60626149e-06	2.99476719e-06
200             	1.94514059e-07	9.38702225e-01	-4.47200537e-08	1.72154032e-07	-2.16874086e-07
220             	-4.02244832e-07	9.38778943e-01	4.16210343e-08	-3.81434315e-07	4.23055349e-07
240             	3.58981900e-07	9.38809509e-01	-9.82556336e-08	3.09854083e-07	-4.08109717e-07
260             	2.09616951e-07	9.38820982e-01	-8.19728507e-08	1.68630525e-07	-2.50603376e-07
280             	3.32801891e-07	9.38825048e-01	-9.34858634e-08	2.86058959e-07	-3.79544823e-07
300             	3.10266366e-07	9.38826365e-01	-9.62808694e-08	2.62125932e-07	-3.58406801e-07
320             	3.29143770e-07	9.38826744e-01	-9.63714433e-08	2.80958048e-07	-3.77329492e-07
340             	3.24028877e-07	9.38826842e-01	-9.74633144e-08	2.75297219e-07	-3.72760534e-07
360             	3.29371812e-07	9.38826833e-01	-9.64162153e-08	2.81163704e-07	-3.77579920e-07
380             	3.27844016e-07	9.38826823e-01	-9.80615105e-08	2.78813261e-07	-3.76874772e-07
400             	3.29605676e-07	9.38826817e-01	-9.72659281e-08	2.80972712e-07	-3.78238640e-07
420             	3.29179498e-07	9.38826816e-01	-9.78014192e-08	2.80278789e-07	-3.78080208e-07
440             	3.29376614e-07	9.38826813e-01	-9.75927840e-08	2.80580222e-07	-3.78173006e-07
460             	3.29777808e-07	9.38826813e-01	-9.76233406e-08	2.80966137e-07	-3.78589478e-07
480             	3.29185682e-07	9.38826812e-01	-9.77218553e-08	2.80324755e-07	-3.78046610e-07
500             	3.29184790e-07	9.38826812e-01	-9.77142211e-08	2.80327679e-07	-3.78041900e-07
520             	3.29896331e-07	9.38826815e-01	-9.77012207e-08	2.81045721e-07	-3.78746942e-07
540             	3.28979947e-07	9.38826814e-01	-9.75977578e-08	2.80181068e-07	-3.77778826e-07
560             	3.29503541e-07	9.38826813e-01	-9.76176633e-08	2.80694709e-07	-3.78312372e-07
580             	3.29418454e-07	9.38826811e-01	-9.76443652e-08	2.80596271e-07	-3.78240637e-07
600             	3.29496295e-07	9.38826810e-01	-9.76535513e-08	2.80669520e-07	-3.78323071e-07
620             	3.29495874e-07	9.38826810e-01	-9.76547782e-08	2.80668485e-07	-3.78323263e-07
640             	3.29495970e-07	9.38826810e-01	-9.76554119e-08	2.80668264e-07	-3.78323676e-07
660             	3.29341046e-07	9.38826816e-01	-9.76290436e-08	2.80526524e-07	-3.78155568e-07
680             	3.29552497e-07	9.38826809e-01	-9.76328667e-08	2.80736064e-07	-3.78368930e-07
700             	3.29514017e-07	9.38826811e-01	-9.76608194e-08	2.80683607e-07	-3.78344427e-07
720             	3.29512662e-07	9.38826811e-01	-9.76622613e-08	2.80681532e-07	-3.78343793e-07
740             	3.29484152e-07	9.38826812e-01	-9.76052087e-08	2.80681548e-07	-3.78286756e-07
760             	3.29514089e-07	9.38826810e-01	-9.76392023e-08	2.80694488e-07	-3.78333691e-07
780             	3.29504427e-07	9.38826828e-01	-9.75846562e-08	2.80712099e-07	-3.78296755e-07
800             	3.29493028e-07	9.38826802e-01	-9.76844992e-08	2.80650779e-07	-3.78335278e-07
820             	3.29217587e-07	9.38826805e-01	-9.80358525e-08	2.80199661e-07	-3.78235513e-07
840             	3.29983998e-07	9.38826824e-01	-9.72382522e-08	2.81364872e-07	-3.78603124e-07
860             	3.28881784e-07	9.38826797e-01	-9.81480916e-08	2.79807738e-07	-3.77955829e-07
880             	3.29829937e-07	9.38826810e-01	-9.73738922e-08	2.81142991e-07	-3.78516883e-07
900             	3.29776633e-07	9.38826804e-01	-9.74715502e-08	2.81040858e-07	-3.78512408e-07
