metric,mean,standardDeviation,minimum,maximum,p025,p050,p975
touchdownVelocity_mps,9.00557219402976,0.27099172722417,8.44623384192418,9.61430558662576,8.55769782719244,9.00404107569168,9.50355290428432
totalDescentTime_s,362.322746350032,12.7109255792512,331.091492288043,399.833546972445,339.487324772453,362.141090529531,387.179455446187
peakDeceleration_g,3.198554989948,0.173171962094248,2.77645918176713,3.63467944890831,2.91221862433489,3.18809086060059,3.55419831545537
