caseName,touchdownVelocity_mps,lateralDrift_m,maximumSwingAngle_deg
3 mains nominal,8.99096127249438,785.123024281873,5
asymmetric 0.5s main delay,8.9909595258299,783.13979711611,9.70702791462033
2 of 3 mains,10.9983176336777,727.345287985124,49.751030285093
1 of 3 mains,15.4980234845537,652.803741676519,99.5072870047385
